indice,data,horario,POX
"370","2018-09-13","20:39:00","572"
"371","2018-09-13","20:39:00","601"
"372","2018-09-13","20:39:00","624"
"373","2018-09-13","20:39:00","665"
"374","2018-09-13","20:39:00","727"
"375","2018-09-13","20:39:00","755"
"376","2018-09-13","20:39:00","775"
"377","2018-09-13","20:39:00","781"
"378","2018-09-13","20:39:00","780"
"379","2018-09-13","20:39:00","768"
"380","2018-09-13","20:39:00","727"
"381","2018-09-13","20:39:00","696"
"382","2018-09-13","20:39:00","662"
"383","2018-09-13","20:39:00","633"
"384","2018-09-13","20:39:00","614"
"385","2018-09-13","20:39:00","592"
"386","2018-09-13","20:39:00","574"
"387","2018-09-13","20:39:00","555"
"388","2018-09-13","20:39:00","541"
"389","2018-09-13","20:39:00","524"
"390","2018-09-13","20:39:00","498"
"391","2018-09-13","20:39:00","470"
"392","2018-09-13","20:39:00","465"
"393","2018-09-13","20:39:00","466"
"394","2018-09-13","20:39:00","464"
"395","2018-09-13","20:39:00","472"
"396","2018-09-13","20:39:00","475"
"397","2018-09-13","20:39:00","487"
"398","2018-09-13","20:39:00","494"
"399","2018-09-13","20:39:00","511"
"400","2018-09-13","20:39:00","534"
"401","2018-09-13","20:39:00","545"
"402","2018-09-13","20:39:00","585"
"403","2018-09-13","20:39:00","585"
"404","2018-09-13","20:39:00","572"
"405","2018-09-13","20:39:00","546"
"406","2018-09-13","20:39:00","526"
"407","2018-09-13","20:39:00","487"
"408","2018-09-13","20:39:00","457"
"409","2018-09-13","20:39:00","421"
"410","2018-09-13","20:39:00","350"
"411","2018-09-13","20:39:00","338"
"412","2018-09-13","20:39:00","325"
"413","2018-09-13","20:39:00","321"
"414","2018-09-13","20:39:00","316"
"415","2018-09-13","20:39:00","318"
"416","2018-09-13","20:39:00","324"
"417","2018-09-13","20:39:00","342"
"418","2018-09-13","20:39:00","362"
"419","2018-09-13","20:39:00","378"
"420","2018-09-13","20:39:00","413"
"421","2018-09-13","20:39:00","428"
"422","2018-09-13","20:39:00","444"
"423","2018-09-13","20:39:00","453"
"424","2018-09-13","20:39:00","459"
"425","2018-09-13","20:39:00","459"
"426","2018-09-13","20:39:00","456"
"427","2018-09-13","20:39:00","452"
"428","2018-09-13","20:39:00","447"
"429","2018-09-13","20:39:00","431"
"430","2018-09-13","20:39:00","403"
"431","2018-09-13","20:39:00","424"
"432","2018-09-13","20:39:00","421"
"433","2018-09-13","20:39:00","423"
"434","2018-09-13","20:39:00","426"
"435","2018-09-13","20:39:00","448"
"436","2018-09-13","20:39:00","479"
"437","2018-09-13","20:39:00","519"
"438","2018-09-13","20:39:00","564"
"439","2018-09-13","20:39:00","594"
"440","2018-09-13","20:39:00","658"
"441","2018-09-13","20:39:00","677"
"442","2018-09-13","20:39:00","676"
"443","2018-09-13","20:39:00","666"
"444","2018-09-13","20:39:00","641"
"445","2018-09-13","20:39:00","613"
"446","2018-09-13","20:39:00","572"
"447","2018-09-13","20:39:00","534"
"448","2018-09-13","20:39:00","484"
"449","2018-09-13","20:39:00","441"
"450","2018-09-13","20:39:00","387"
"451","2018-09-13","20:39:00","364"
"452","2018-09-13","20:39:00","351"
"453","2018-09-13","20:39:00","341"
"454","2018-09-13","20:39:00","343"
"455","2018-09-13","20:39:00","341"
"456","2018-09-13","20:39:00","354"
"457","2018-09-13","20:39:00","360"
"458","2018-09-13","20:39:00","378"
"459","2018-09-13","20:39:00","402"
